Zip/Postal Code,Website,Converted,Population Density,Population
72616,https://simplemaps.com/us-zips/72616,FALSE,,
75220,https://simplemaps.com/us-zips/75220,FALSE,,
75702,https://simplemaps.com/us-zips/75702,FALSE,,
76574,https://simplemaps.com/us-zips/76574,FALSE,,
77803,https://simplemaps.com/us-zips/77803,FALSE,,
79401,https://simplemaps.com/us-zips/79401,FALSE,,
82001,https://simplemaps.com/us-zips/82001,FALSE,,
82601,https://simplemaps.com/us-zips/82601,FALSE,,
83201,https://simplemaps.com/us-zips/83201,FALSE,,
83301,https://simplemaps.com/us-zips/83301,FALSE,,
83605,https://simplemaps.com/us-zips/83605,FALSE,,
83651,https://simplemaps.com/us-zips/83651,FALSE,,
83703,https://simplemaps.com/us-zips/83703,FALSE,,
83814,https://simplemaps.com/us-zips/83814,FALSE,,
85020,https://simplemaps.com/us-zips/85020,FALSE,,
85122,https://simplemaps.com/us-zips/85122,FALSE,,
85254,https://simplemaps.com/us-zips/85254,FALSE,,
85323,https://simplemaps.com/us-zips/85323,FALSE,,
85378,https://simplemaps.com/us-zips/85378,FALSE,,
85541,https://simplemaps.com/us-zips/85541,FALSE,,
85546,https://simplemaps.com/us-zips/85546,FALSE,,
85602,https://simplemaps.com/us-zips/85602,FALSE,,
85635,https://simplemaps.com/us-zips/85635,FALSE,,
85701,https://simplemaps.com/us-zips/85701,FALSE,,
85712,https://simplemaps.com/us-zips/85712,FALSE,,
85938,https://simplemaps.com/us-zips/85938,FALSE,,
86004,https://simplemaps.com/us-zips/86004,FALSE,,
86305,https://simplemaps.com/us-zips/86305,FALSE,,
86333,https://simplemaps.com/us-zips/86333,FALSE,,
87031,https://simplemaps.com/us-zips/87031,FALSE,,
87036,https://simplemaps.com/us-zips/87036,FALSE,,
87110,https://simplemaps.com/us-zips/87110,FALSE,,
88005,https://simplemaps.com/us-zips/88005,FALSE,,
88030,https://simplemaps.com/us-zips/88030,FALSE,,
90031,https://simplemaps.com/us-zips/90031,FALSE,,
90804,https://simplemaps.com/us-zips/90804,FALSE,,
93950,https://simplemaps.com/us-zips/93950,FALSE,,
94025,https://simplemaps.com/us-zips/94025,FALSE,,
94080,https://simplemaps.com/us-zips/94080,FALSE,,
94401,https://simplemaps.com/us-zips/94401,FALSE,,
94513,https://simplemaps.com/us-zips/94513,FALSE,,
94523,https://simplemaps.com/us-zips/94523,FALSE,,
94550,https://simplemaps.com/us-zips/94550,FALSE,,
94555,https://simplemaps.com/us-zips/94555,FALSE,,
94565,https://simplemaps.com/us-zips/94565,FALSE,,
95363,https://simplemaps.com/us-zips/95363,FALSE,,
95457,https://simplemaps.com/us-zips/95457,FALSE,,
95531,https://simplemaps.com/us-zips/95531,FALSE,,
95825,https://simplemaps.com/us-zips/95825,FALSE,,
97457,https://simplemaps.com/us-zips/97457,FALSE,,
97739,https://simplemaps.com/us-zips/97739,FALSE,,
98028,https://simplemaps.com/us-zips/98028,FALSE,,
98032,https://simplemaps.com/us-zips/98032,FALSE,,
98057,https://simplemaps.com/us-zips/98057,FALSE,,
98203,https://simplemaps.com/us-zips/98203,FALSE,,
98272,https://simplemaps.com/us-zips/98272,FALSE,,
98310,https://simplemaps.com/us-zips/98310,FALSE,,
98366,https://simplemaps.com/us-zips/98366,FALSE,,
98409,https://simplemaps.com/us-zips/98409,FALSE,,
99403,https://simplemaps.com/us-zips/99403,FALSE,,
99801,https://simplemaps.com/us-zips/99801,FALSE,,
